Column,Behaviour,Actor,Receiver,Focal,T_start,T_stop,period,treatment_rep,T_start_UNIX,T_stop_UNIX,duration
724,SG,24,NA,24,2021-03-16T12:30:29.552392088Z,2021-03-16T12:30:31.927379372Z,post,R3SP,2021-03-16 12:30:29,2021-03-16 12:30:31,2.37498736381531
725,SG,24,NA,24,2021-03-16T12:30:36.927425896Z,2021-03-16T12:30:40.802558555Z,post,R3SP,2021-03-16 12:30:36,2021-03-16 12:30:40,3.87513279914856
726,SG,24,NA,24,2021-03-16T12:32:04.303144282Z,2021-03-16T12:32:15.053206795Z,post,R3SP,2021-03-16 12:32:04,2021-03-16 12:32:15,10.7500624656677
727,SG,24,NA,24,2021-03-16T12:32:16.428151773Z,2021-03-16T12:32:22.678253930Z,post,R3SP,2021-03-16 12:32:16,2021-03-16 12:32:22,6.25010204315186
728,G,24,5,24,2021-03-16T12:32:26.178205796Z,2021-03-16T12:33:43.053825074Z,post,R3SP,2021-03-16 12:32:26,2021-03-16 12:33:43,76.8756194114685
729,SG,24,NA,24,2021-03-16T12:33:44.678797059Z,2021-03-16T12:33:51.553830761Z,post,R3SP,2021-03-16 12:33:44,2021-03-16 12:33:51,6.87503385543823
730,G,24,5,24,2021-03-16T12:34:57.304283743Z,2021-03-16T12:35:07.179451437Z,post,R3SP,2021-03-16 12:34:57,2021-03-16 12:35:07,9.87516760826111
731,SG,24,NA,24,2021-03-16T12:35:09.179390788Z,2021-03-16T12:35:16.054433366Z,post,R3SP,2021-03-16 12:35:09,2021-03-16 12:35:16,6.87504267692566
732,G,24,17,24,2021-03-16T12:36:37.305005598Z,2021-03-16T12:37:13.430275636Z,post,R3SP,2021-03-16 12:36:37,2021-03-16 12:37:13,36.1252701282501
734,SG,24,NA,24,2021-03-16T12:38:52.181040234Z,2021-03-16T12:39:09.181106499Z,post,R3SP,2021-03-16 12:38:52,2021-03-16 12:39:09,17.000066280365
736,SG,24,NA,24,2021-03-16T12:41:17.682085219Z,2021-03-16T12:41:24.557081856Z,post,R3SP,2021-03-16 12:41:17,2021-03-16 12:41:24,6.87499666213989
740,SG,26,NA,26,2021-03-16T12:36:12.804822168Z,2021-03-16T12:36:15.929844959Z,post,R3SP,2021-03-16 12:36:12,2021-03-16 12:36:15,3.12502264976501
741,SG,26,NA,26,2021-03-16T12:37:22.680267618Z,2021-03-16T12:37:25.305358968Z,post,R3SP,2021-03-16 12:37:22,2021-03-16 12:37:25,2.6250913143158
742,CB,26,NA,26,2021-03-16T12:37:25.305358968Z,2021-03-16T12:37:36.430368440Z,post,R3SP,2021-03-16 12:37:25,2021-03-16 12:37:36,11.1250095367432
743,CB,26,NA,26,2021-03-16T12:37:50.180458478Z,2021-03-16T12:37:54.180558522Z,post,R3SP,2021-03-16 12:37:50,2021-03-16 12:37:54,4.00009989738464
744,SG,26,NA,26,2021-03-16T12:38:35.305944394Z,2021-03-16T12:38:37.555875937Z,post,R3SP,2021-03-16 12:38:35,2021-03-16 12:38:37,2.2499315738678
745,G,26,17,26,2021-03-16T12:39:25.806281075Z,2021-03-16T12:41:23.807148887Z,post,R3SP,2021-03-16 12:39:25,2021-03-16 12:41:23,118.000867843628
746,SG,26,NA,26,2021-03-16T12:41:24.807122906Z,2021-03-16T12:41:35.307237117Z,post,R3SP,2021-03-16 12:41:24,2021-03-16 12:41:35,10.5001142024994
747,G,26,17,26,2021-03-16T12:41:44.307267437Z,2021-03-16T12:41:55.307288686Z,post,R3SP,2021-03-16 12:41:44,2021-03-16 12:41:55,11.0000212192535
