"Colony","qPCR_Well.","Ct1","Ct2","Code","MbruDNA","Treatment","size_treat","status","antID","AntTask1perc","prop_time_outside","colony_size","treatment","Exposed","IsAlive","IsQueen","N_exposed","Ct_mean","above_detection_threshold","Ant_status"
"R3BP","C6",31.08,30.89,"13-C6",0.017734992126429,"Big Pathogen","BP","Big",55,"nurse",0,188,"Pathogen","untreated",TRUE,FALSE,14,30.985,"T","untreated nurse"
"R8BP","C7",32.65,33.21,"34-C7",0.005350015004095,"Big Pathogen","BP","Big",60,"forager",0.034,180,"Pathogen","untreated",TRUE,FALSE,17,32.93,"T","untreated forager"
"R12BP","B9",34.49,34.1,"52-B9",0.002637345333778,"Big Pathogen","BP","Big",57,"nurse",0,192,"Pathogen","untreated",TRUE,FALSE,16,34.295,"T","untreated nurse"
"R3BP","F4",23.465,NA,"12-E1",1.51561187721463,"Big Pathogen","BP","Big",56,"nurse",0,188,"Pathogen","treated",TRUE,FALSE,14,23.465,"T","treated nurse"
"R3BP","E1",NA,37.44,"12-E1",0.000179318046916,"Big Pathogen","BP","Big",56,"nurse",0,188,"Pathogen","treated",TRUE,FALSE,14,37.44,"F","treated nurse"
"R8BP","F4",32.64,32.29,"33-F9",0.007161005379866,"Big Pathogen","BP","Big",61,"forager",0.526,180,"Pathogen","untreated",TRUE,FALSE,17,32.465,"T","untreated forager"
"R12BP","A6",22.91,23.57,"53-A4",5.52616693513332,"Big Pathogen","BP","Big",58,"nurse",0,192,"Pathogen","treated",TRUE,FALSE,16,23.24,"T","treated nurse"
"R8BP","C7",33.31,32.9,"33-C12",0.004626770948681,"Big Pathogen","BP","Big",62,"forager",0.731,180,"Pathogen","untreated",TRUE,FALSE,17,33.105,"T","untreated forager"
"R8BP","G3",23.3,NA,"34-E7",1.68368173272728,"Big Pathogen","BP","Big",63,"nurse",0,180,"Pathogen","treated",TRUE,FALSE,17,23.3,"T","treated nurse"
"R12BP","D11",30.31,30.21,"52-D11",0.034711709295821,"Big Pathogen","BP","Big",59,"nurse",0,192,"Pathogen","untreated",TRUE,FALSE,16,30.26,"T","untreated nurse"
"R8BP","E6",21.78,21.54,"33-E11",11.4176309164459,"Big Pathogen","BP","Big",64,"nurse",0.001,180,"Pathogen","treated",TRUE,FALSE,17,21.66,"T","treated nurse"
"R12BP","A3",32.43,34.35,"53-A1",0.008449169059485,"Big Pathogen","BP","Big",60,"nurse",0,192,"Pathogen","untreated",TRUE,FALSE,16,33.39,"T","untreated nurse"
"R1SP","F3",25.81,26.35,"5-F1",0.418982612106531,"Small Pathogen","SP","Small",11,"nurse",0,35,"Pathogen","untreated",TRUE,FALSE,3,26.08,"T","untreated nurse"
"R12BP","B1",32.73,33.94,"51-B11",0.008751268323673,"Big Pathogen","BP","Big",61,"forager",0.044,192,"Pathogen","untreated",TRUE,FALSE,16,33.335,"T","untreated forager"
"R8BP","E5",24.45,24.6,"34-E12",1.65917616421695,"Big Pathogen","BP","Big",66,"nurse",0,180,"Pathogen","treated",TRUE,FALSE,17,24.525,"T","treated nurse"
"R12BP","D8",32.51,33.6,"53-D6",0.010465090779947,"Big Pathogen","BP","Big",62,"forager",0.046,192,"Pathogen","untreated",TRUE,FALSE,16,33.055,"T","untreated forager"
"R8BP","C8",33.1,31.56,"33-D5",0.007852139380474,"Big Pathogen","BP","Big",68,"forager",0.601,180,"Pathogen","untreated",TRUE,FALSE,17,32.33,"T","untreated forager"
"R12BP","D1",35.6,34.74,"52-D1",0.001508141184933,"Big Pathogen","BP","Big",63,"forager",0.168,192,"Pathogen","untreated",TRUE,FALSE,16,35.17,"T","untreated forager"
"R1SP","E2",30.93,31.08,"4-E12",0.018256541134247,"Small Pathogen","SP","Small",12,"forager",0.024,35,"Pathogen","untreated",TRUE,FALSE,3,31.005,"T","untreated forager"
"R8BP","C8",34.05,34.84,"34-C8",0.001901767844589,"Big Pathogen","BP","Big",69,"nurse",0.001,180,"Pathogen","untreated",TRUE,FALSE,17,34.445,"T","untreated nurse"
"R8BP","B8",34.29,36.22,"34-B8",0.001093937474478,"Big Pathogen","BP","Big",70,"forager",0.804,180,"Pathogen","untreated",TRUE,FALSE,17,35.255,"T","untreated forager"
"R12BP","C3",22.54,24.01,"53-C1",5.4039957649689,"Big Pathogen","BP","Big",64,"nurse",0,192,"Pathogen","treated",TRUE,FALSE,16,23.275,"T","treated nurse"
"R1SP","A3",22.08,22.43,"5-A1",4.77577106555916,"Small Pathogen","SP","Small",13,"nurse",0,35,"Pathogen","treated",TRUE,FALSE,3,22.255,"T","treated nurse"
"R8BP","A2",36.12,35.59,"34-A2",0.000726260626576,"Big Pathogen","BP","Big",71,"forager",0.083,180,"Pathogen","untreated",TRUE,FALSE,17,35.855,"T","untreated forager"
"R12BP","C3",33.83,33.92,"52-C3",0.003448855510348,"Big Pathogen","BP","Big",65,"nurse",0,192,"Pathogen","untreated",TRUE,FALSE,16,33.875,"T","untreated nurse"
"R8BP","D4",28.46,28.53,"34-D4",0.110492423669499,"Big Pathogen","BP","Big",72,"forager",0.397,180,"Pathogen","untreated",TRUE,FALSE,17,28.495,"T","untreated forager"
"R12BP","H3",36.95,36.95,"52-H3",0.000483804607459,"Big Pathogen","BP","Big",66,"forager",0.09,192,"Pathogen","untreated",TRUE,FALSE,16,36.95,"T","untreated forager"
"R12BP","G9",33.39,34.47,"52-G9",0.003329798857823,"Big Pathogen","BP","Big",67,"forager",0.063,192,"Pathogen","untreated",TRUE,FALSE,16,33.93,"T","untreated forager"
"R11SP","H6",33.81,33.48,"49-H2",0.003403976083114,"Small Pathogen","SP","Small",11,"forager",0.545,34,"Pathogen","untreated",TRUE,FALSE,3,33.645,"T","untreated forager"
"R5SP","E3",35.61,36.38,"22-B6",0.000763275812128,"Small Pathogen","SP","Small",10,"forager",0.116,33,"Pathogen","untreated",TRUE,FALSE,3,35.995,"T","untreated forager"
