"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
7 "CapsuleDef3" 0.2 15 0.5 40 2 0.5 "fit_RF_ros" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.316 0.595 0.708 0.363
7 "CapsuleDef3" 0.2 15 0.5 40 2 0.5 "fit_RF_rus" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.339 0.431 0.392 0.718 0.282 0.391 0.364 0.556
7 "CapsuleDef3" 0.2 15 0.5 40 2 0.5 "fit_RF_smote" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.355 0.582 0.629 0.45
7 "CapsuleDef3" 0.2 15 0.5 40 2 0.5 "fit_RF_borderline_smote_type1" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.321 0.616 0.75 0.359
7 "CapsuleDef3" 0.2 15 0.5 40 2 0.5 "fit_RF_borderline_smote_type2" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.302 0.598 0.742 0.337
7 "CapsuleDef3" 0.2 15 0.5 40 2 0.5 "fit_SVM_all" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.517 0.727 0.761 0.617 0.314 0.57 0.654 0.376
7 "CapsuleDef3" 0.2 15 0.5 40 2 0.5 "fit_SVM_sbc" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.307 0.389 0.348 0.725 0.213 0.287 0.256 0.563
7 "CapsuleDef3" 0.2 15 0.5 40 2 0.5 "fit_SVM_ros" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.54 0.733 0.755 0.655 0.339 0.588 0.658 0.412
7 "CapsuleDef3" 0.2 15 0.5 40 2 0.5 "fit_SVM_rus" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.339 0.426 0.386 0.737 0.23 0.315 0.285 0.544
7 "CapsuleDef3" 0.2 15 0.5 40 2 0.5 "fit_SVM_smote" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.492 0.662 0.663 0.655 0.311 0.491 0.503 0.449
7 "CapsuleDef3" 0.2 15 0.5 40 2 0.5 "fit_SVM_borderline_smote_type1" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.538 0.732 0.756 0.651 0.342 0.602 0.685 0.405
7 "CapsuleDef3" 0.2 15 0.5 40 2 0.5 "fit_SVM_borderline_smote_type2" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.54 0.733 0.755 0.655 0.329 0.564 0.622 0.412
8 "CapsuleDef3" 0.2 15 0.5 40 3 0.5 "fit_RF_all" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.574 0.784 0.825 0.653 0.245 0.546 0.735 0.269
8 "CapsuleDef3" 0.2 15 0.5 40 3 0.5 "fit_RF_sbc" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.244 0.309 0.271 0.711 0.186 0.25 0.22 0.546
8 "CapsuleDef3" 0.2 15 0.5 40 3 0.5 "fit_RF_ros" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.574 0.784 0.825 0.653 0.3 0.573 0.683 0.349
8 "CapsuleDef3" 0.2 15 0.5 40 3 0.5 "fit_RF_rus" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.306 0.386 0.346 0.723 0.285 0.388 0.358 0.583
8 "CapsuleDef3" 0.2 15 0.5 40 3 0.5 "fit_RF_smote" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.574 0.784 0.825 0.653 0.354 0.603 0.671 0.429
8 "CapsuleDef3" 0.2 15 0.5 40 3 0.5 "fit_RF_borderline_smote_type1" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.574 0.784 0.825 0.653 0.302 0.574 0.683 0.351
8 "CapsuleDef3" 0.2 15 0.5 40 3 0.5 "fit_RF_borderline_smote_type2" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.574 0.784 0.825 0.653 0.293 0.574 0.699 0.335
8 "CapsuleDef3" 0.2 15 0.5 40 3 0.5 "fit_SVM_all" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.526 0.726 0.752 0.636 0.34 0.573 0.627 0.426
8 "CapsuleDef3" 0.2 15 0.5 40 3 0.5 "fit_SVM_sbc" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.281 0.355 0.315 0.723 0.21 0.276 0.243 0.613
8 "CapsuleDef3" 0.2 15 0.5 40 3 0.5 "fit_SVM_ros" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.539 0.733 0.755 0.653 0.281 0.529 0.613 0.342
8 "CapsuleDef3" 0.2 15 0.5 40 3 0.5 "fit_SVM_rus" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.319 0.402 0.361 0.736 0.244 0.327 0.295 0.588
8 "CapsuleDef3" 0.2 15 0.5 40 3 0.5 "fit_SVM_smote" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.51 0.69 0.7 0.653 0.265 0.481 0.534 0.345
8 "CapsuleDef3" 0.2 15 0.5 40 3 0.5 "fit_SVM_borderline_smote_type1" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.535 0.726 0.747 0.653 0.3 0.58 0.698 0.345
8 "CapsuleDef3" 0.2 15 0.5 40 3 0.5 "fit_SVM_borderline_smote_type2" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.539 0.733 0.755 0.653 0.353 0.57 0.609 0.456
9 "CapsuleDef3" 0.4 15 0.5 32 2 0.5 "fit_RF_all" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.236 0.527 0.706 0.261
9 "CapsuleDef3" 0.4 15 0.5 32 2 0.5 "fit_RF_sbc" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.24 0.304 0.265 0.718 0.152 0.197 0.168 0.612
9 "CapsuleDef3" 0.4 15 0.5 32 2 0.5 "fit_RF_ros" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.311 0.604 0.739 0.35
9 "CapsuleDef3" 0.4 15 0.5 32 2 0.5 "fit_RF_rus" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.459 0.589 0.565 0.711 0.301 0.434 0.416 0.521
9 "CapsuleDef3" 0.4 15 0.5 32 2 0.5 "fit_RF_smote" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.356 0.59 0.643 0.444
